"v33";"v76";"v12";"v68";"v50";"v7";"v70";"v55";"v20";"v24";"v32";"v97";"v28";"v99";"v95";"v42";"v53";"v85";"v9";"v84";"v44";"classlabel"
"ff";"g";51,83;"f";1,5;"b";"f";120;0,000204;0;"y";3,29;"f";"ff";NA;1200000;1;"p";0;"f";"f";"no."
"bb";"g";26,67;"f";0;"b";"f";178;0,0014585;0;"u";2,93;"t";"i";"f";1780000;0;"g";0;"f";"f";"no."
"v";"g";31,42;"f";0,5;"b";"f";120;0,00155;0;"u";3,83;"f";"c";"f";1200000;0;"g";1;"f";"t";"no."
"h";"g";25,67;"f";2,29;"b";"t";416;0,000325;1;"u";2,41;"t";"c";"t";4160000;21;"g";0;"f";"f";"no."
"bb";"g";33,75;"f";0;"b";"f";180;0,000275;0;"u";5,63;"f";"i";"f";1800000;0;"g";1;"f";"f";"no."
"h";"g";32,75;"f";5,75;"b";"f";292;0,0002335;0;"u";2,88;"t";"d";"f";2920000;0;"g";0;"f";"f";"no."
"v";"s";39,83;"f";0,25;"b";"f";288;0,00005;0;"u";4,08;"f";"m";NA;2880000;0;"g";1;"f";"t";"no."
"v";"g";40,33;"f";0,165;"a";"t";NA;0,0008125;2;"y";3,58;"f";"k";NA;NA;18;"p";0;"f";"f";"no."
"v";"g";35,25;"f";4;"b";"f";80;0,00165;0;"y";4,09;"f";"c";NA;800000;0;"p";0;"t";"f";"no."
"bb";"g";24,33;"f";4,5;"a";"f";200;0,00025;0;"y";2,51;"f";"i";"f";2000000;456;"p";1;"f";"f";"no."
"v";"g";15,75;"f";1;"a";"f";120;0,0000375;0;"u";2,88;"f";"c";"f";1200000;18;"g";1;"f";"f";"no."
"h";"s";45;"f";1;"a";"f";240;0,0004585;0;"u";2,6;"t";"k";NA;2400000;0;"g";0;"f";"f";"no."
"h";"g";30,42;"f";0,04;"a";"t";0;0,0001375;3;"u";3,55;"f";"W";NA;0;33;"g";1;"f";"f";"no."
"v";"g";NA;"f";3;"a";"f";300;0,00035;0;"u";2,16;"t";"d";NA;3000000;0;"g";0;"t";"f";"no."
"v";"g";17,25;"f";0,04;"b";"f";160;0,0003;0;"u";3,57;"t";"k";NA;1600000;40;"g";0;"f";"f";"no."
"v";"g";38,58;"f";13,5;"a";"f";980;0,0005;0;"u";3,23;"t";"cc";NA;9800000;0;"g";1;"f";"t";"no."
"v";"g";22,67;"f";1,585;"b";"t";400;0,000075;1;"u";5,08;"t";"i";NA;4000000;9;"g";0;"f";"f";"no."
"j";"g";49;"f";0;"a";"f";100;0,00015;0;"u";3,18;"t";"j";"f";1000000;27;"g";1;"f";"t";"no."
"v";"g";27,83;"f";2,25;"b";"t";100;0,00015;1;"u";3,21;"t";"W";NA;1000000;3;"g";1;"f";"f";"no."
"v";"g";16,5;"f";0,25;"a";"t";108;0,000125;1;"u";2,63;"f";"q";"t";1080000;98;"g";1;"f";"f";"no."
"v";"g";25,67;"f";4;"b";"f";188;0,000221;0;"y";3,1;"f";"aa";"f";1880000;0;"p";1;"f";"t";"no."
"v";"g";36,67;"f";0,25;"b";"f";221;0,0002;0;"u";3,5;"t";"i";NA;2210000;0;"g";0;"f";"f";"no."
"v";"g";26,17;"f";1,165;"b";"f";100;0,0000835;0;"u";3,74;"f";"cc";"f";1000000;0;"g";1;"f";"f";"no."
"v";"g";NA;"f";8,5;"b";"f";0;0,0005;0;"y";4,39;"f";"aa";"f";0;0;"p";1;"f";"t";"no."
"h";"g";47,25;"t";2,75;"a";"t";333;0,000075;1;"u";4,29;"f";"q";NA;3330000;892;"g";0;"t";"f";"yes."
"v";"g";33,67;"t";0,375;"a";"f";300;0,0000375;0;"u";3,22;"f";"cc";NA;3000000;44;"g";1;"f";"f";"yes."
"h";"g";45;"t";14;"b";"t";88;0,00085;1;"u";4,72;"t";"cc";"t";880000;2000;"g";1;"f";"t";"yes."
"h";"g";33,17;"t";6,5;"b";"f";164;0,000104;0;"u";1,54;"t";"r";NA;1640000;31285;"g";0;"t";"f";"yes."
"h";"g";25;"t";1,04;"a";"f";160;0,0000875;0;"u";3,94;"t";"x";"f";1600000;5860;"g";1;"f";"t";"yes."
"v";"g";26,67;"t";1;"b";"t";160;0,000175;5;"y";2,8;"t";"c";NA;1600000;5777;"p";1;"f";"t";"yes."
"v";"g";48,5;"t";0,125;"b";"f";225;0,000425;0;"u";4,64;"t";"m";NA;2250000;0;"g";1;"f";"t";"yes."
"v";"g";37,42;"t";0,04;"b";"f";400;0,000204;0;"u";2,96;"t";"W";NA;4000000;5800;"g";1;"f";"t";"yes."
"n";"g";18;"t";0,21;"b";"f";200;0,0000165;0;"u";4,64;"f";"q";"f";2000000;40;"g";1;"f";"f";"yes."
"ff";"g";56,5;"t";0;"a";"t";0;0,0016;15;"u";3,36;"f";"j";"t";0;247;"g";0;"t";"f";"yes."
"v";"g";25,75;"t";1,46;"b";"t";312;0,00005;5;"u";1,44;"t";"c";"t";3120000;0;"g";1;"f";"t";"yes."
"v";"g";22,58;"t";0,415;"a";"t";0;0,001075;5;"u";2,87;"t";"q";NA;0;560;"g";1;"f";"t";"yes."
"h";"g";33,17;"t";2,04;"b";"t";180;0,000304;1;"y";1,58;"t";"c";"t";1800000;18027;"p";1;"f";"t";"yes."
"h";"g";32;"t";0,04;"b";"f";393;0,000175;0;"y";3,5;"t";"e";NA;3930000;0;"p";0;"t";"f";"yes."
"h";"g";40,83;"t";1,75;"a";"f";29;0,001;0;"u";5,22;"f";"q";NA;290000;837;"g";1;"f";"t";"yes."
"v";"g";59,67;"t";0,125;"b";"f";260;0,000154;0;"u";1,05;"t";"q";"f";2600000;0;"g";1;"f";"t";"yes."
"v";"g";42,5;"t";3,165;"b";"f";52;0,0004915;0;"y";4,3;"t";"W";NA;520000;1442;"p";1;"f";"t";"yes."
"z";"g";28,08;"t";0;"a";"f";0;0,0015;0;"y";1,92;"f";"e";NA;0;13212;"p";1;"f";"t";"yes."
"v";"g";37,75;"t";0,125;"a";"f";228;0,00055;0;"u";5,14;"t";"q";"f";2280000;0;"g";1;"f";"t";"yes."
"v";"g";53,92;"t";8,665;"b";"t";0;0,0009625;5;"u";4,7;"f";"e";NA;0;0;"g";1;"f";"t";"yes."
"bb";"g";47,67;"t";15;"b";"t";0;0,000029;20;"u";2,48;"f";"c";"t";0;15000;"g";0;"t";"f";"yes."
"v";"s";23,25;"t";0,835;"b";"f";300;0,0001;0;"u";3,06;"f";"c";"f";3000000;0;"g";0;"t";"f";"yes."
"h";"g";22,67;"t";2,585;"b";"f";0;0,000254;0;"y";3,25;"f";"c";"f";0;0;"p";0;"t";"f";"yes."
"ff";"g";54,58;"t";14,415;"b";"t";30;0,0009415;11;"u";2,94;"t";"ff";NA;300000;300;"g";1;"f";"t";"yes."
"h";"g";34,25;"t";7,415;"b";"f";0;0,0003;0;"u";5,9;"t";"cc";NA;0;0;"g";1;"f";"t";"yes."
"v";"g";27,58;"t";2;"b";"t";370;0,000204;3;"y";3,45;"t";"aa";NA;3700000;560;"p";0;"t";"f";"yes."
"j";"g";46;"t";0;"a";"f";100;0,0004;0;"u";2,61;"f";"j";NA;1000000;960;"g";1;"f";"t";"yes."
"v";"g";60,92;"t";4;"a";"t";0;0,0005;4;"u";3,96;"f";"aa";"t";0;99;"g";0;"t";"f";"yes."
"v";"g";47,42;"t";13,875;"a";"t";519;0,0003;2;"u";3,52;"t";"x";NA;5190000;1704;"g";1;"f";"t";"yes."
"h";"g";37,33;"t";4,25;"b";"t";93;0,00065;12;"u";3,25;"t";"m";NA;930000;0;"g";0;"t";"f";"yes."
"v";"g";33,25;"f";2,5;"a";"f";0;0,00025;0;"y";3,23;"t";"c";"f";0;2;"p";1;"f";"f";"no."
"h";"g";24,58;"f";1,75;"a";"f";400;0,000067;0;"u";3,77;"f";"aa";NA;4000000;0;"g";1;"f";"t";"no."
"v";"g";21,83;"f";0,085;"b";"f";356;0,000154;0;"u";2,26;"t";"k";NA;3560000;0;"g";1;"f";"f";"no."
"v";"g";15,17;"f";1;"b";"f";600;0,0007;0;"u";2,16;"f";"e";NA;6000000;0;"g";0;"f";"f";"no."
"v";"g";22,92;"f";0,165;"b";"f";160;0,0003165;0;"y";4,97;"f";"c";NA;1600000;1058;"p";0;"f";"f";"no."
"ff";"s";69,5;"f";0;"a";"f";0;0,0006;0;"u";1,26;"f";"ff";"f";0;0;"g";1;"f";"f";"no."
"v";"g";33;"f";7;"b";"f";280;0,00025;0;"y";3,33;"t";"W";NA;2800000;0;"p";0;"f";"f";"no."
"j";"g";23;"f";0;"a";"t";200;0,0001835;1;"u";2,23;"f";"j";NA;2000000;53;"g";0;"f";"f";"no."
"v";"g";22;"f";0,29;"b";"t";420;0,000079;1;"u";3,59;"f";"W";NA;4200000;283;"g";0;"f";"f";"no."
"v";"g";24,75;"f";1;"b";"f";120;0,000054;0;"u";4,33;"t";"m";NA;1200000;1;"g";0;"f";"f";"no."
"v";"g";20,75;"f";0,29;"b";"f";140;0,0005085;0;"y";1,25;"f";"j";NA;1400000;184;"p";0;"f";"f";"no."
"v";"s";23;"f";0,5;"b";"f";320;0,000075;0;"u";4,22;"t";"m";NA;3200000;0;"g";0;"t";"f";"no."
"v";"s";20,67;"f";2;"b";"f";240;0,0000835;0;"y";3,27;"t";"c";"f";2400000;0;"p";0;"f";"f";"no."
"ff";"g";48,75;"f";0;"b";"f";0;0,0026335;0;"y";1,97;"t";"ff";"f";0;0;"p";1;"f";"t";"no."
"ff";"g";51,83;"f";1,5;"b";"f";180;0,0003;0;"y";1,39;"f";"ff";"f";1800000;4;"p";0;"f";"f";"no."
"v";"g";22,75;"f";0,415;"b";"f";0;0,00115;0;"u";4,03;"f";"i";NA;0;0;"g";1;"f";"f";"no."
"ff";"g";17,92;"f";0;"a";"f";0;0,001021;0;"u";3,16;"f";"ff";NA;0;50;"g";0;"f";"f";"no."
NA;"g";42,25;"f";0;NA;"f";150;0,000175;0;"y";3,54;"t";NA;"f";1500000;1;"p";0;"f";"f";"no."
"v";"g";27,67;"f";0,25;"a";"f";180;0,000204;0;"u";4,14;"t";"W";"f";1800000;50;"g";0;"f";"f";"no."
"v";"g";28,75;"f";1,5;"b";"f";0;0,00015;0;"y";5,05;"t";"c";"f";0;225;"p";0;"t";"f";"no."
"h";"g";37,75;"f";11,5;"b";"t";300;0,0007;7;"u";3,22;"t";"q";"t";3000000;5;"g";0;"t";"f";"no."
"v";"s";28,75;"f";0,5;"b";"f";280;0,0001165;0;"u";2,76;"f";"k";NA;2800000;0;"g";1;"f";"t";"no."
"ff";"g";23,5;"f";4,5;"b";"f";160;0,000275;0;"u";4,75;"f";"ff";"f";1600000;25;"g";1;"f";"f";"no."
"v";"g";29,5;"f";1;"a";"f";280;0,0001085;0;"y";2,43;"f";"x";NA;2800000;13;"p";1;"f";"f";"no."
"ff";"g";31,92;"f";3,04;"a";"t";200;0,0003125;2;"u";2,16;"t";"ff";NA;2000000;4;"g";0;"f";"f";"no."
"v";"g";18,83;"f";0,165;"b";"t";200;0,0000415;1;"y";2,79;"f";"c";"t";2000000;1;"p";1;"f";"f";"no."
"bb";"g";26,75;"f";2,5;"b";"f";200;0,00045;0;"y";5,77;"f";"c";"f";2000000;1210;"p";1;"f";"f";"no."
"ff";"g";27,17;"f";0;"a";"t";92;0,000125;1;"u";2,49;"f";"ff";"t";920000;300;"g";0;"f";"f";"no."
"v";"g";47,17;"f";5,5;"b";"f";465;0,0005835;0;"u";3,73;"f";"W";"f";4650000;150;"g";1;"f";"f";"no."
"v";"g";23,75;"f";0,04;"b";"t";128;0,0000415;2;"y";2,14;"f";"c";NA;1280000;6;"p";0;"f";"f";"no."
"v";"g";41,58;"f";0,21;"b";"f";160;0,000175;0;"u";2,15;"f";"k";NA;1600000;0;"g";0;"t";"f";"no."
"dd";"g";26,33;"f";0;"b";"f";140;0,0013;0;"u";2,99;"t";"e";"f";1400000;1110;"g";1;"f";"f";"no."
"v";"s";39,42;"f";0,165;"b";"f";400;0,000171;0;"y";4,68;"f";"m";NA;4000000;0;"p";0;"f";"f";"no."
"h";"g";35,25;"f";3,75;"b";"f";680;0,0003165;0;"u";2,85;"t";"x";"f";6800000;0;"g";0;"t";"f";"no."
"ff";"g";18,83;"f";0;"b";"f";180;0,000354;0;"y";4,16;"t";"ff";"f";1800000;1;"p";1;"f";"f";"no."
"v";"g";44,83;"f";1,625;"b";"f";160;0,0007;0;"y";1,86;"f";"c";NA;1600000;2;"p";1;"f";"f";"no."
"ff";"g";50,75;"f";0;"b";"f";145;0,0000585;0;"u";2,92;"f";"ff";"f";1450000;0;"g";1;"f";"f";"no."
"v";"g";19,17;"f";1;"b";"f";360;0,0004;0;"y";2,54;"t";"i";"f";3600000;1000;"p";0;"f";"f";"no."
"v";"g";21,5;"f";0,5;"b";"f";100;0,00115;0;"u";2,95;"t";"i";"f";1000000;68;"g";1;"f";"t";"no."
NA;"p";25,58;"t";0;"a";"f";NA;0;0;NA;4,56;"f";NA;NA;NA;0;NA;1;"f";"f";"yes."
"v";"g";20,42;"t";1,585;"a";"t";0;0,0000835;1;"u";3,21;"f";"q";"t";0;0;"g";0;"t";"f";"yes."
"v";"g";44,17;"t";7,375;"a";"t";0;0,0006665;3;"u";3,49;"t";"q";"t";0;0;"g";1;"f";"t";"yes."
"n";"g";34,75;"t";5,375;"b";"t";0;0,0015;9;"u";3,57;"t";"r";NA;0;134;"g";1;"f";"t";"yes."
"v";"s";20,5;"t";2,5;"b";"f";40;0,001;0;"y";2,71;"f";"c";NA;400000;0;"p";0;"t";"f";"yes."
"j";"s";22,67;"t";2,25;"b";"f";0;0,0000165;0;"u";1,89;"t";"c";NA;0;0;"g";1;"f";"f";"yes."
"h";"g";22,08;"t";2,165;"b";"f";128;0,000083;0;"u";2,99;"t";"c";NA;1280000;0;"g";1;"f";"f";"yes."
"v";"s";42,83;"t";4,58;"b";"f";0;0,0004625;0;"u";3,45;"f";"q";NA;0;0;"g";0;"t";"f";"yes."
"v";"g";18,92;"t";1;"a";"t";80;0,000925;4;"y";4,34;"t";"c";"t";800000;500;"p";1;"f";"t";"yes."
"v";"g";20,67;"t";0,165;"a";"t";100;0,0003;3;"u";3,06;"f";"q";NA;1000000;6;"g";0;"t";"f";"yes."
"v";"g";32,33;"t";0,04;"a";"f";440;0,000054;0;"u";3,02;"f";"cc";"f";4400000;11177;"g";0;"t";"f";"yes."
"h";"g";28,92;"t";5,335;"b";"t";0;0,0015;11;"u";4,94;"f";"c";NA;0;2283;"g";0;"t";"f";"yes."
"v";"g";52,83;"t";5,5;"a";"t";0;0,0015;14;"u";2,55;"f";"c";NA;0;2200;"g";1;"f";"t";"yes."
"v";"g";20,67;"t";2,085;"a";"t";220;0,0001835;5;"u";3,74;"f";"q";NA;2200000;2503;"g";0;"t";"f";"yes."
"bb";"g";36,25;"t";2,5;"b";"t";0;0,0005;6;"u";2,74;"f";"c";NA;0;367;"g";0;"t";"f";"yes."
"h";"g";20,33;"t";1;"a";"t";50;0,001;4;"u";3,74;"f";"c";NA;500000;1465;"g";1;"f";"t";"yes."
"bb";"g";25,75;"t";0,25;"b";"f";349;0,000075;0;"u";1,77;"f";"c";"f";3490000;23;"g";1;"f";"t";"yes."
"v";"g";28,17;"t";0,585;"a";"t";80;0,0000375;4;"u";2,8;"f";"q";"t";800000;0;"g";1;"f";"t";"yes."
"v";"g";23,92;"t";0,165;"b";"f";100;0,0000665;0;"u";3,04;"f";"c";NA;1000000;0;"g";1;"f";"f";"yes."
"h";"g";56;"t";8;"b";"f";24;0,00125;0;"u";4,33;"t";"k";NA;240000;2028;"g";1;"f";"t";"yes."
"v";"g";20,75;"t";0,71;"a";"t";49;0,001025;2;"u";2,85;"t";"q";"t";490000;0;"g";0;"t";"f";"yes."
"bb";"g";30,5;"t";4;"a";"t";0;0,00065;7;"u";3,62;"t";"c";"t";0;3065;"g";0;"t";"f";"yes."
"v";"g";45,83;"t";5;"a";"t";0;0,00105;7;"u";2,9;"t";"q";"t";0;0;"g";0;"t";"f";"yes."
"v";"g";39;"t";3,5;"b";"t";0;0,0005;10;"u";2,47;"t";"cc";"t";0;0;"g";1;"f";"t";"yes."
"v";"g";22,08;"t";0,665;"b";"f";100;0,0011;0;"u";4,01;"f";"cc";NA;1000000;0;"g";0;"t";"f";"yes."
"v";"g";28,25;"t";4,75;"b";"t";420;0,0005125;2;"u";2,86;"f";"x";NA;4200000;7;"g";0;"t";"f";"yes."
"h";"g";18,83;"t";3;"a";"f";240;0,0004415;0;"y";4,67;"f";"c";"f";2400000;0;"p";1;"f";"t";"yes."
"v";"g";28,67;"t";2,5;"a";"t";300;0,000104;5;"u";3,76;"t";"c";NA;3000000;1430;"g";0;"t";"f";"yes."
"v";"g";22,5;"t";2,46;"a";"f";164;0,000846;0;"y";3,17;"f";"x";"f";1640000;0;"p";0;"f";"f";"yes."
"v";"g";NA;"t";6,5;"b";"f";0;0,00105;0;"u";3,78;"f";"x";"f";0;0;"g";1;"f";"t";"yes."
"ff";"g";36,08;"f";0;"b";"f";0;0,000254;0;"u";3,28;"f";"ff";NA;0;1000;"g";1;"f";"f";"no."
"bb";"s";40,83;"f";0,5;NA;"f";1160;0,00035;0;"u";3,78;"f";"i";"f";11600000;0;"g";0;"f";"f";"no."
"v";"g";20;"f";0,125;"b";"f";140;0,000125;0;"y";2,91;"f";"k";NA;1400000;4;"p";0;"f";"f";"no."
"h";"g";43,25;"f";0,21;"b";"t";760;0,002521;1;"u";1,18;"f";"q";NA;7600000;90;"g";1;"f";"t";"no."
"h";"g";52,33;"f";9,46;"b";"f";200;0,0001375;0;"y";3,48;"t";"c";NA;2000000;100;"p";1;"f";"t";"no."
"bb";"g";19,33;"f";0,585;"b";"t";200;0,0010915;2;"u";3,98;"t";"c";NA;2000000;7;"g";1;"f";"f";"no."
"v";"g";23,58;"f";2,625;"b";"t";208;0,000046;6;"y";2,34;"t";"W";"t";2080000;347;"p";1;"f";"t";"no."
"ff";"g";69,17;"f";4;"b";"t";70;0,0009;1;"u";2,21;"f";"ff";NA;700000;6;"g";0;"f";"f";"no."
"ff";"g";24,92;"f";0;"a";"f";80;0,000125;0;"u";2,88;"f";"ff";"f";800000;0;"g";1;"f";"t";"no."
"ff";"g";23,58;"f";0,125;"a";"f";120;0,0000585;0;"y";2,8;"f";"ff";"f";1200000;87;"p";1;"f";"f";"no."
"v";"g";20;"f";0,5;"b";"f";144;0;0;"u";3,74;"f";"d";NA;1440000;0;"g";0;"f";"f";"no."
"v";"g";32;"f";1,25;"a";"f";272;0,0006;0;"u";3,45;"f";"d";NA;2720000;0;"g";1;"f";"f";"no."
"h";"g";27,83;"f";3;"b";"f";176;0,0001;0;"y";4,35;"f";"d";NA;1760000;537;"p";0;"f";"f";"no."
"v";"g";29,83;"f";0,25;"b";"f";224;0,000125;0;"y";4,97;"f";"k";"f";2240000;0;"p";1;"f";"f";"no."
"v";"g";25,67;"f";1,5;"b";"f";160;0,000029;0;"y";3,3;"t";"c";"f";1600000;0;"p";1;"f";"f";"no."
"ff";"g";31,25;"f";0;"b";"t";176;0,0002835;5;"u";3,3;"f";"ff";NA;1760000;146;"g";1;"f";"f";"no."
"ff";"g";23,08;"f";0,085;"b";"f";100;0,00025;0;"u";3,57;"t";"ff";NA;1000000;4208;"g";1;"f";"f";"no."
"v";"g";31;"f";0,085;"b";"f";300;0,0002085;0;"u";2,98;"f";"c";NA;3000000;0;"g";0;"f";"f";"no."
"ff";"g";22,17;"f";0;"b";"f";100;0,0000585;0;"y";3,21;"f";"ff";NA;1000000;0;"p";1;"f";"f";"no."
"v";"g";NA;"f";0,085;"b";"f";411;0,0004;0;"y";3,22;"t";"i";"f";4110000;0;"p";1;"f";"f";"no."
"v";"g";45,17;"f";2,5;"b";"f";140;0,00015;0;"u";3,58;"t";"c";NA;1400000;0;"g";1;"f";"t";"no."
"ff";"g";24,58;"f";0;"b";"f";NA;0,00135;0;"y";3,46;"f";"ff";"f";NA;0;"p";1;"f";"f";"no."
"v";"g";33,67;"f";1,165;"b";"f";120;0,000125;0;"u";3,08;"f";"W";NA;1200000;0;"g";1;"f";"f";"no."
"bb";"s";40,58;"f";0;"b";"f";300;0,00015;0;"u";3,38;"f";"i";NA;3000000;0;"g";0;"f";"f";"no."
"h";"g";16,33;"f";0,415;"b";"f";120;0,0004085;0;"u";3,14;"t";"i";NA;1200000;0;"g";1;"f";"f";"no."
"v";"g";35,75;"f";0,125;"b";"t";220;0,0002415;2;"u";4,11;"f";"W";"t";2200000;1;"g";1;"f";"f";"no."
"ff";"g";NA;"f";0;"a";"t";200;0,00015;2;"u";3,33;"t";"ff";NA;2000000;105;"g";0;"f";"f";"no."
"ff";"g";49,58;"f";0;"b";"t";94;0,0019;1;"u";2,69;"f";"ff";NA;940000;0;"g";1;"f";"t";"no."
"v";"s";30,25;"f";5,5;"a";"f";100;0,00055;0;"u";3,07;"t";"k";NA;1000000;0;"g";1;"f";"f";"no."
"v";"s";34,67;"f";1,165;"b";"f";28;0,000108;0;"u";2,63;"f";"m";"f";280000;0;"g";1;"f";"f";"no."
"v";"g";50,25;"f";0,5;"a";"f";240;0,0000835;0;"u";3,52;"t";"aa";"f";2400000;117;"g";1;"f";"f";"no."
"bb";"g";NA;"f";7;"b";"f";0;0,0003;0;"y";4,17;"f";"i";"f";0;1;"p";0;"f";"f";"no."
"ff";"g";57,58;"f";6,5;"a";"t";0;0,0002;1;"u";3,95;"f";"ff";"t";0;10;"g";0;"f";"f";"no."
"v";"g";24,83;"f";1;"a";"f";360;0,00045;0;"u";3,52;"t";"W";"f";3600000;6;"g";1;"f";"f";"no."
"v";"g";22,25;"f";0,085;"b";"f";0;0,0009;0;"u";3,23;"f";"aa";"f";0;0;"g";0;"f";"f";"no."
"h";"g";21,08;"f";1,25;"b";"f";260;0,0010085;0;"y";3,61;"f";"e";NA;2600000;0;"p";1;"f";"f";"no."
"ff";"g";52,17;"f";0;"a";"f";0;0;0;"y";3,27;"f";"ff";NA;0;0;"p";0;"f";"f";"no."
"h";"g";23,58;"f";3;"a";"f";20;0,00115;0;"y";1,28;"t";"k";"f";200000;16;"p";1;"f";"f";"no."
"v";"g";21,5;"f";0,25;"b";"f";140;0,000975;0;"u";3,68;"f";"c";NA;1400000;0;"g";0;"t";"f";"no."
"h";"g";28,5;"t";2,54;"a";"t";70;0,000304;1;"y";2,95;"f";"x";NA;700000;0;"p";1;"f";"t";"yes."
"v";"g";19,17;"t";1,5;"b";"f";120;0,00095;0;"u";4,59;"f";"W";NA;1200000;2206;"g";1;"f";"t";"yes."
"v";"g";21,5;"t";2,5;"a";"t";80;0,0006;3;"u";5,49;"f";"aa";"t";800000;918;"g";1;"f";"t";"yes."
"o";"p";17,5;"t";0;"b";"f";450;0,0022;0;"l";2,08;"t";"ff";"f";4500000;100000;"gg";1;"f";"f";"yes."
"v";"g";26,67;"t";5,25;"b";"t";211;0,000271;1;"y";3,91;"f";"cc";NA;2110000;0;"p";0;"t";"f";"yes."
"bb";"g";34,42;"t";3,25;"b";"t";274;0,000425;2;"u";3,44;"f";"i";"t";2740000;610;"g";0;"t";"f";"yes."
"ff";"g";73,42;"t";0;"b";"f";0;0,001775;0;"u";2,8;"t";"ff";"f";0;0;"g";0;"t";"f";"yes."
"h";"g";23;"t";0,5;"a";"t";300;0,001175;2;"u";3,94;"t";"x";NA;3000000;551;"g";1;"f";"t";"yes."
"v";"g";23,08;"t";1,085;"b";"t";60;0,00025;11;"u";4,03;"t";"c";NA;600000;2184;"g";0;"t";"f";"yes."
"h";"g";19,42;"t";1,46;"b";"t";80;0,00065;7;"u";3,23;"f";"W";"t";800000;2954;"g";0;"t";"f";"yes."
"v";"g";23,33;"t";0,835;"b";"f";160;0,0011625;0;"y";3,02;"t";"W";NA;1600000;300;"p";1;"f";"t";"yes."
"h";"g";42,17;"t";12,75;"b";"f";92;0,000504;0;"u";2,23;"t";"q";NA;920000;0;"g";0;"t";"f";"yes."
"v";"g";21,25;"t";1,5;"b";"f";150;0,00015;0;"u";2,7;"f";"W";NA;1500000;8;"g";1;"f";"f";"yes."
"v";"g";34,17;"t";0,085;"b";"f";290;0,000525;0;"u";3,09;"t";"W";NA;2900000;6;"g";1;"f";"f";"yes."
"v";"g";47,75;"t";7,875;"a";"t";0;0,0008;6;"u";3,07;"t";"c";"t";0;1260;"g";0;"t";"f";"yes."
"v";"g";44,33;"t";2,5;"a";"f";0;0;0;"u";4,27;"f";"c";NA;0;0;"g";1;"f";"t";"yes."
"bb";"g";39,5;"t";6,5;"b";"t";117;0,000425;16;"u";3,05;"f";"c";"t";1170000;1210;"g";1;"f";"t";"yes."
"v";"g";41,17;"t";0,5;"a";"t";145;0,00065;3;"u";5,22;"t";"q";NA;1450000;0;"g";1;"f";"t";"yes."
"h";"g";29,92;"t";4,335;"b";"f";260;0,0001835;0;"u";2,89;"f";"c";"f";2600000;200;"g";1;"f";"t";"yes."
NA;"p";23,17;"t";0;"b";"f";NA;0;0;NA;4,9;"f";NA;"f";NA;0;NA;0;"f";"f";"yes."
"v";"g";35,17;"t";4,5;"b";"t";150;0,00025;7;"u";3,48;"f";"k";"t";1500000;1270;"g";0;"t";"f";"yes."
"h";"g";19,17;"t";0,75;"a";"t";96;0,0008585;7;"u";2,23;"f";"cc";NA;960000;0;"g";1;"f";"t";"yes."
"v";"g";52,5;"t";6,29;"b";"t";0;0,00065;15;"u";3,9;"f";"k";"t";0;11202;"g";1;"f";"t";"yes."
